Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
05481;UNIAO REDUCAO 8\6MM;UN;MATERIAL MANUTENCAO;;;;;;
05483;VALVULA BLOQUEIO TUBO ROSCA ROSCA 1\4 TUBO 8MM;UN;MATERIAL MANUTENCAO;;;;;;
05484;VALVULA BLOQUEIO TUBO ROSCA ROSCA 1\2 TUBO 8MM;UN;MATERIAL MANUTENCAO;;;;;;
05486;VALVULA BLOQUEIO TUBO ROSCA ROSCA 3\8 TUBO 8MM;UN;MATERIAL MANUTENCAO;;;;;;
05487;VALVULA BLOQUEIO TUBO ROSCA ROSCA 3\8 TUBO 10MM;UN;MATERIAL MANUTENCAO;;;;;;
05488;ACAI PETRUZ GUA27 SR CPCA 200G CX18;CX;P.A. SORBET;;;;;;
05489;ACAI PETRUZ GUA27 SR CPCA 500G CX12;CX;P.A. SORBET;;;;;;
05490;ACAI PETRUZ MOR27 SR CPCA 500G CX12;CX;P.A. SORBET;;;;;;
05491;ACAI PETRUZ MOR27 SR CPCA 200G CX18;CX;P.A. SORBET;;;;;;
05492;ACAI PETRUZ BAN27 SR CPCA 200G CX18;CX;P.A. SORBET;;;;;;
05493;ACAI PETRUZ BAN27 SR CPCA 500G CX12;CX;P.A. SORBET;;;;;;
05494;ACEROLA REPROCESSO INT6 BD;KG;REPROCESSO;;;;;;
05506;ROLAMENTO 6310;UN;MATERIAL MANUTENCAO;;;;;;
05507;BROCA ACO 11MM;UN;MATERIAL MANUTENCAO;;;;;;
05509;BROCA ACO 13MM;UN;MATERIAL MANUTENCAO;;;;;;
05511;BROCA ACO 3MM;UN;MATERIAL MANUTENCAO;;;;;;
05512;CORREIA GOODYEAR 3V X 0475;UN;MATERIAL MANUTENCAO;;;;;;
05513;POLIA FERRO FUNDIDO 4B 90;UN;MATERIAL MANUTENCAO;;;;;;
05518;TAPEREBA REPROCESSO INT10 BD;KG;REPROCESSO;;;;;;
05519;CONTROLADOR FULL GAUGE TC 900 PAWE;UN;MATERIAL MANUTENCAO;;;;;;
05520;MATA MATO ROUNDUP;UN;MATERIAL MANUTENCAO;;;;;;
05521;UNIAO PAINEL TUBO 0,6MM;UN;MATERIAL MANUTENCAO;;;;;;
05522;CONEXAO REGISTRO TUBO 10MM ROSCA 3/8;UN;MATERIAL MANUTENCAO;;;;;;
05526;"CURVA GALVANIZADA 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05527;ACAI GUARANA REPROCESSO PRE20 TB;KG;REPROCESSO;;;;;;
05528;ACAI GUARANA REPROCESSO PRE20 BD;KG;REPROCESSO;;;;;;
05529;ACAI REPROCESSO PRE14 BD;KG;REPROCESSO;;;;;;
05530;"TUBO GALVANIZADO 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
05534;CORANTE ARTIFICIAL VERMELHO BORDEAUX 100G;KG;INSUMOS DIRETOS;;;;;;
05537;ROLAMENTO UC 311 INOX;UN;MATERIAL MANUTENCAO;;;;;;
05539;ROLAMENTO 6804;UN;MATERIAL MANUTENCAO;;;;;;
05550;REGISTRO POSTERIOR UNIVERSAL COD 131912;UN;MATERIAL MANUTENCAO;;;;;;
05552;CUNHA NYLON COD 131900;UN;MATERIAL MANUTENCAO;;;;;;
05553;CALCO PRESSAO CAVA COD 131875 DIR;UN;MATERIAL MANUTENCAO;;;;;;
05554;BORRACHA PERIMETRAL COD 133378;MT;MATERIAL MANUTENCAO;;;;;;
05564;CHAPA MADEIRITE 15MM;UN;MATERIAL MANUTENCAO;;;;;;
05576;ACAI GUARANA REPROCESSO CLA18 BD;KG;REPROCESSO;;;;;;
05577;SEAL CHARGE;UN;SERVICOS GERAIS;;;;;;
05580;PERFIL ALUMINIO MARCO 110MM 111033;UN;MATERIAL MANUTENCAO;;;;;;
05582;FILME ACAI NATURAL BRASIL POPULAR 1,02KG;KG;EMBALAGEM;;;;;;
05586;CHAVE CANHAO 8MM;UN;MATERIAL MANUTENCAO;;;;;;
05587;CHAVE CANHAO 10MM;UN;MATERIAL MANUTENCAO;;;;;;
05600;TINTA ALTO BRILHO BASE PASTEL RV1190;LT;MATERIAL CONSTRUCAO;;;;;;
05601;ACAI REPROCESSO CLA12 BD;KG;REPROCESSO;;;;;;
05603;ESTATOR NM 21 02S;UN;MATERIAL MANUTENCAO;;;;;;
05604;"PRENSA CABO 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
05606;BOTAO DESLIGA 22MM;UN;MATERIAL MANUTENCAO;;;;;;
05623;BROCA ACO 5/16;UN;MATERIAL MANUTENCAO;;;;;;
05629;CONTROLADOR HW4200 R 20 240VCA;UN;MATERIAL MANUTENCAO;;;;;;
05630;GRAUTE SACO 25 KG;UN;MATERIAL CONSTRUCAO;;;;;;
05631;ACAI REPROCESSO STA8 BD;KG;REPROCESSO;;;;;;
05634;SELO MECANICO NDB 4924396 NM02101L;UN;MATERIAL MANUTENCAO;;;;;;
05635;SELO MECANICO NDB 4924404 NM03101L;UN;MATERIAL MANUTENCAO;;;;;;
05647;CALCO PRESSAO CAVA ESQUERDA;UN;MATERIAL MANUTENCAO;;;;;;
05652;PARAFUSO ALLEN INOX M6 X 30MM;UN;MATERIAL MANUTENCAO;;;;;;
05653;PARAFUSO ALLEN INOX M6 X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
05655;PARAFUSO ALLEN INOX M5 X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
05656;PARAFUSO ALLEN INOX M5 X 30MM;UN;MATERIAL MANUTENCAO;;;;;;
05665;ROLAMENTO UC 205 25MM INOX;UN;MATERIAL MANUTENCAO;;;;;;
05667;PARAFUSO INOX SEXTAVADO M5 X 30MM;UN;MATERIAL MANUTENCAO;;;;;;
05688;CHAVETA - DESATIVADO;UN;MATERIAL MANUTENCAO;;;;;;
05709;AMOSTRA ACAI PETRUZ STA8 SR CNSA 200G;UN;AMOSTRAS;;;;;;
05754;SELO ALUMINIO ACAI CAMPO VERDE 92 MM;CX;EMBALAGEM;;;;;;
05756;ENCODER MAQUINA POTE MIX;UN;MATERIAL MANUTENCAO;;;;;;
05758;ACAI A3 REPROCESSO CLA25 BD;KG;REPROCESSO;;;;;;
05767;ACAI GUARANA PETRUZ CLA18 SR OPCA 400G CX15;CX;P.A. BEBIDA MISTA;;;;;;
05780;ACAI SAO PEDRO PRE14 SR CPSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
05792;CAIXA MIX ACAI ALMALIBRE 10L;UN;EMBALAGEM;;;;;;
05802;TUBO PVC ESGOTO 200MM;UN;MATERIAL MANUTENCAO;;;;;;
05803;MANCAL F205 INOX;UN;MATERIAL MANUTENCAO;;;;;;
05805;JOELHO PVC ESGOTO 90º 200MM;UN;MATERIAL MANUTENCAO;;;;;;
05819;TORNEIRA PIA INOX;UN;MATERIAL MANUTENCAO;;;;;;
05821;JOELHO PVC SOLDAVEL 45º 50MM;UN;MATERIAL MANUTENCAO;;;;;;
05829;ACAI SAO PEDRO PRE14 SR CPCA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
05834;RETENTOR 45 X 60 X 7MM;UN;MATERIAL MANUTENCAO;;;;;;
05865;"VALVULA SOLENOIDE 120VAC 5/2 VIAS 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
05875;PAPEL CRAFT;UN;MATERIAL USO CONSUMO;;;;;;
05888;DESINFETANTE 5L;LT;INSUMOS INDIRETOS;;;;;;
05906;EMUSTAB SELECTA;KG;INSUMOS DIRETOS;;;;;;
05908;TAMARINDO PETRUZ INT11 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
05911;TERMINAL COMPRESSAO 150MM;UN;MATERIAL MANUTENCAO;;;;;;
05916;BOTA PVC BRANCA FORRO LA 38;UN;SESMT;;;;;;
05917;BOTA PVC BRANCA FORRO LA 40;UN;SESMT;;;;;;
05918;BOTA PVC BRANCA FORRO LA 41;UN;SESMT;;;;;;
05919;BOTA PVC BRANCA FORRO LA 42;UN;SESMT;;;;;;
05920;BOTA PVC BRANCA FORRO LA 44;UN;SESMT;;;;;;
05950;TE ACO INOX 304 POLIDO IE 2 OD PAREDE 1,5MM TC;UN;MATERIAL MANUTENCAO;;;;;;
05953;"ABRACADEIRA ACO INOX 304 TC 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05954;"NIPEL INOX 304 CURTO 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05972;PLUG MACHO 20A;UN;MATERIAL MANUTENCAO;;;;;;
05973;PLUG FEMEA 20A;UN;MATERIAL MANUTENCAO;;;;;;
05974;ACAI ZERO A3 CLA25 SR CPCA 500G CX7;CX;P.A. BEBIDA MISTA;;;;;;
05981;"ARRUELA LISA 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05992;"BUCHA REDUCAO PVC 3/4 X 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05999;LUVA SEGURANCA CAMARA FRIA M;UN;SESMT;;;;;;
06000;LUVA SEGURANCA CAMARA FRIA G;UN;SESMT;;;;;;
06005;ROLAMENTO 6307;UN;MATERIAL MANUTENCAO;;;;;;
06008;BOBINA SOLENOIDE MSFW-230-50/60;UN;MATERIAL MANUTENCAO;;;;;;
06009;VALVULA SOLENOIDE MFH-3 1/8;UN;MATERIAL MANUTENCAO;;;;;;
06024;LIXA FERRO 2000MM;UN;MATERIAL MANUTENCAO;;;;;;
06027;"TUBO ACO INOX 304 PI PE 3""";UN;MATERIAL MANUTENCAO;;;;;;
06028;SOLDA SERRALHEIRO 3,25 X 13MM;KG;MATERIAL MANUTENCAO;;;;;;
06035;PERFIL U 50 X 200 X 50MM CHAPA PRE EXT;M;MATERIAL MANUTENCAO;;;;;;
06036;MASSA VEDANTE PAINEL BRANCO 600ML;UN;MATERIAL CONSTRUCAO;;;;;;
06042;ACAI PETRUZ CLA12 SR ONSA 180KG TB;TB;P.A. ACAI;;;;;;
06048;SERVICO PINTURA;UN;SERVICOS GERAIS;;;;;;
06049;DETERGENTE ALCALINO CLORADO;LT;INSUMOS INDIRETOS;;;;;;
06053;CABO PP 2 X 1MM;UN;MATERIAL MARKETING;;;;;;
06058;MASCARA RESPIRATORIA VALVULA PPF1/PPF2;UN;SESMT;;;;;;
06061;"CURVA GALVANIZADA MACHO FEMEA 90° 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
06062;"BUCHA REDUCAO GALVANIZADA 3/4 X 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
06089;TAMPA ELETROCALHA 50 X 50;UN;MATERIAL MANUTENCAO;;;;;;
06091;CONTATO BOTOEIRA IEC 60947-5-1 NC;UN;MATERIAL MANUTENCAO;;;;;;
06098;ALICATE SACA FRENO CURVO;UN;MATERIAL MANUTENCAO;;;;;;
06099;ALICATE SACA FRENO RETO;UN;MATERIAL MANUTENCAO;;;;;;
06104;BASE ACAI A3 ZERO PETRUZ TB;KG;SEMI ELABORADO;;;;;;
06119;ACAI PETRUZ BAN27 SR CNCA 1L;KG;PRODUTO ELABORACAO;;;;;;
06137;TRILHO DIN PERFURADO;UN;MATERIAL MANUTENCAO;;;;;;
06153;TERMINAL PRE ISOLADO PINO DUPLO 4,0MM;UN;MATERIAL MANUTENCAO;;;;;;
06154;TERMINAL PRE ISOLADO PINO DUPLO 6,0MM;UN;MATERIAL MANUTENCAO;;;;;;
06156;DISCO CORTE SPEED PLUS 180 X 1 6 X 22,2MM;UN;MATERIAL MANUTENCAO;;;;;;
06170;PALETE FUMIGADO 1,16 X 0,90 X 0,14 M;UN;EMBALAGEM;;;;;;
06173;TAMPAO 200MM;UN;MATERIAL MANUTENCAO;;;;;;
06194;FILME BEBIDA POLYFRUTTI FINO 1,02KG;KG;EMBALAGEM;;;;;;
06207;BARRA ROSCADA 3/8 X 3M;PC;MATERIAL MANUTENCAO;;;;;;
06208;PERFILADO PERFURADO 6M;UN;MATERIAL MANUTENCAO;;;;;;
06216;"PORCA SEXTAVADA ZINCADA 3/8""";UN;MATERIAL MANUTENCAO;;;;;;
06218;ACAI POLYFRUTTI BEB04 SR CNSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
06226;SABONETEIRA PLASTICA;UN;MATERIAL LIMPEZA;;;;;;
06233;CALCA BRIM VERDE P VERDE;UN;UNIFORMES;;;;;;
06234;BATA BRIM VERDE MANGA LONGA P;UN;UNIFORMES;;;;;;
06236;PROTETOR BARBA DESCARTAVEL;PC;SESMT;;;;;;
06237;CALCA BRIM VERDE M VERDE;UN;UNIFORMES;;;;;;
06238;CALCA BRIM VERDE G VERDE;UN;UNIFORMES;;;;;;
06240;CINTO SEGURANCA TIPO ALPINISTA TALABARTE;UN;SESMT;;;;;;
06247;REGISTRO ESFERA PVC SOLDAVEL 50MM;UN;MATERIAL MANUTENCAO;;;;;;
06260;PIA;UN;BENS PEQUENO VALOR;;;;;;
06263;LUVA NITRILICA TAM M;UN;SESMT;;;;;;
06264;LUVA NITRILICA TAM P;UN;SESMT;;;;;;
06268;CINTA ERGONOMICA M;UN;SESMT;;;;;;
06269;CINTA ERGONOMICA G;UN;SESMT;;;;;;
06272;RETENTOR 5N11 3M;UN;MATERIAL MANUTENCAO;;;;;;
06289;PRE BASE PADRAO CONVENCIONAL PETRUZ TB;KG;SEMI ELABORADO;;;;;;
06293;LIXA MASSA 120MM;UN;MATERIAL MANUTENCAO;;;;;;
06294;ROLO LA 15CM;UN;MATERIAL MANUTENCAO;;;;;;
06295;TINTA AZUL WEG 3,6L;UN;MATERIAL MANUTENCAO;;;;;;
06302;"REGISTRO ESFERA ROSCAVEL 32 X 1""";UN;MATERIAL MANUTENCAO;;;;;;
06303;"JOELHO PVC ROSCAVEL  90º 2 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
06304;CAP SOLDAVEL 75MM;UN;MATERIAL MANUTENCAO;;;;;;
06305;FUSIVEL VIDRO GRANDE 1A;UN;MATERIAL MANUTENCAO;;;;;;
06306;FUSIVEL VIDRO GRANDE 6A;UN;MATERIAL MANUTENCAO;;;;;;
06308;REDUCAO SOLDAVEL 110 X 100MM;UN;MATERIAL MANUTENCAO;;;;;;
06311;REATOR LAMPADA 2 X 15W;UN;MATERIAL MANUTENCAO;;;;;;
06312;REATOR VAPOR SODIO 150W 220V;UN;MATERIAL MANUTENCAO;;;;;;
06321;PLACA ELETRONICA MAQ JCV SELADORA XIO 114NT0241 241;UN;MATERIAL MANUTENCAO;;;;;;
06322;"ABRACADEIRA TIPO D CHAVETA 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
06332;ACAI REPROCESSO PRE14 CPCL TB;KG;REPROCESSO;;;;;;
06339;"ABRACADEIRA TC INOX 2""";UN;MATERIAL MANUTENCAO;;;;;;
06369;KIT CAIXA DESCARGA E VASO ACOPLADA PORCELANA;UN;MATERIAL MANUTENCAO;;;;;;
06372;TE RETO ELETROCALHA 100 X 50;UN;MATERIAL MANUTENCAO;;;;;;
06373;CURVA ELETROCALHA VERTICAL EXTERNA 100 X 50 45;UN;MATERIAL MANUTENCAO;;;;;;
06376;CURVA ELETROCALHA HORIZONTAL 100 X 50 90;UN;MATERIAL MANUTENCAO;;;;;;
06378;TE RETO ELETROCALHA 100 X 100;UN;MATERIAL MANUTENCAO;;;;;;
06379;DESVIO ESQUERDA ELETROCALHA 100 X 100;UN;MATERIAL MANUTENCAO;;;;;;
06380;DESVIO DIREITA ELETROCALHA 100 X 100;UN;MATERIAL MANUTENCAO;;;;;;
06382;CURVA ELETROCALHA VERTICAL EXTERNA 100 X 100 90;UN;MATERIAL MANUTENCAO;;;;;;
06383;CURVA ELETROCALHA HORIZONTAL 90 100 X 100;UN;MATERIAL MANUTENCAO;;;;;;
06384;EMENDA ELETROCALHA 100 X 100;UN;MATERIAL MANUTENCAO;;;;;;
06434;"REGISTRO GAVETA VAPOR 3""";UN;MATERIAL MANUTENCAO;;;;;;
06440;ACAI PETRUZ STA8 SR CPSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
06443;ACAI PETRUZ GUA27 SR CPCA 10KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
06447;"VALVULA ESFERICA TRIPARTIDA ACO 1""";UN;MATERIAL MANUTENCAO;;;;;;
06456;"PARAFUSO SEXTAVADO 5/8 X 3""";UN;MATERIAL MANUTENCAO;;;;;;
06457;"PARAFUSO SEXTAVADO 3/8 X 1""";UN;MATERIAL MANUTENCAO;;;;;;
06459;"VALVULA ESFERICA TRIPARTIDA ACO 2""";UN;MATERIAL MANUTENCAO;;;;;;
06462;"UNIAO GALVANIZADA 2""";UN;MATERIAL MANUTENCAO;;;;;;
06463;BORRACHA ALIMENTICIA 3.5MM;MT;MATERIAL MANUTENCAO;;;;;;
06467;BOTAO SELETOR 2 POSICAO WEG;UN;MATERIAL MANUTENCAO;;;;;;
06468;BOTAO SELETOR 3 POSICAO WEG;UN;MATERIAL MANUTENCAO;;;;;;
06474;PINO CONEXAO;UN;MATERIAL MANUTENCAO;;;;;;
06475;GARFO INOX GKM10 20 BR 10 X 1.25;UN;MATERIAL MANUTENCAO;;;;;;
06476;ACAI PETRUZ PRE14 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
06477;ACAI PETRUZ PRE14 SR CPSA 400G CX15;CX;P.A. ACAI;;;;;;
06480;SACO ACAI TERRAACAI 190 X 245 X 0,15MM 400G;CX;EMBALAGEM;;;;;;
06500;PARAFUSO SEXTAVADO 10 X 25 8.8M;UN;MATERIAL MANUTENCAO;;;;;;
06502;PORCA SEXTAVADA 10MM;UN;MATERIAL MANUTENCAO;;;;;;
06511;KIT SELADOR EPOXI;UN;MATERIAL MANUTENCAO;;;;;;
06515;ROLO LA BRASILEIRINHO;UN;MATERIAL MANUTENCAO;;;;;;
06516;GOIABA PETRUZ INT9 SR CPSA 400G CX15 EX;CX;P.A. FRUTAS EXPORT;;;;;;
06522;TUBO ACO INOX 304 PI PE 2 X 1,5MM;UN;MATERIAL MANUTENCAO;;;;;;
06524;TUBO ACO INOX 304 PI PE 1 X 1,5MM;UN;MATERIAL MANUTENCAO;;;;;;
06549;SPRAY BALL CIP D2 E1;UN;MATERIAL MANUTENCAO;;;;;;
06550;PORCA SEXTAVADA 8MM;UN;MATERIAL MANUTENCAO;;;;;;
06556;BLOCO CONTATO FRONTAL DISJUNTOR MOTOR MPW 25 ACBF 11;UN;MATERIAL MANUTENCAO;;;;;;
06578;BOTA SEGURANCA BICO COMPOSITE N 37;UN;SESMT;;;;;;
06579;BOTA SEGURANCA BICO COMPOSITE N 38;UN;SESMT;;;;;;
06580;BOTA SEGURANCA BICO COMPOSITE N 39;UN;SESMT;;;;;;
06581;BOTA SEGURANCA BICO COMPOSITE N 40;UN;SESMT;;;;;;
06582;BOTA SEGURANCA BICO COMPOSITE N 41;UN;SESMT;;;;;;
06583;BOTA SEGURANCA BICO COMPOSITE N 42;UN;SESMT;;;;;;
06585;BOTA SEGURANCA BICO COMPOSITE N 44;UN;SESMT;;;;;;
06593;SACO RAFIA ACAI SAO PEDRO ESPECIAL 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
06594;SACO RAFIA ACAI SAO PEDRO MEDIO 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
06595;SACO RAFIA ACAI SAO PEDRO POPULAR 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
06597;SACO RAFIA ACAI TROPNAT MEDIO 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
06598;SACO RAFIA ACAI TROPNAT FINO 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
06602;"ADAPTADOR CONDULETE TOP 1""";UN;MATERIAL MANUTENCAO;;;;;;
06610;"TAMPA CONDULETE 1""";UN;MATERIAL MANUTENCAO;;;;;;
06615;ROLAMENTO 6001;UN;MATERIAL MANUTENCAO;;;;;;
06616;LAMPADA LED 16W E27;UN;MATERIAL MANUTENCAO;;;;;;
06623;ACAI REPROCESSO BAN27 BD;KG;REPROCESSO;;;;;;
06624;ACAI PETRUZ CLA12 SR OPCA 400G;UND;PRODUTO ELABORACAO;;;;;;
06633;ACAI REPROCESSO GUA27 BD;KG;REPROCESSO;;;;;;
06638;JOELHO PVC ESGOTO 45º 200MM;UN;MATERIAL MANUTENCAO;;;;;;
06648;ADAPTADOR PVC 32 X 1;UN;MATERIAL MANUTENCAO;;;;;;
06661;ACAI PETRUZ PRE14 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
06662;ACAI GUARANA PETRUZ CLA18 SR OPCA 400G CX15 EX;CX;P.A. B MISTA EXPORT;;;;;;
06673;CONDUTOR GALVANIZADO 150MM;UN;MATERIAL MANUTENCAO;;;;;;
06674;"CABO ALMA ACO 5/16""";MT;MATERIAL MANUTENCAO;;;;;;
06683;ACAI PETRUZ CLA12 SR OPCA 2,9KG BD EX;BD;P.A. ACAI EXPORT;;;;;;
06687;LIMPA INOX;LT;INSUMOS INDIRETOS;;;;;;
06691;KIT ESCOVA MANUAL MANUTENCAO;UN;MATERIAL MANUTENCAO;;;;;;
06692;PERFIL U 100 X 40 X 2,65MM;UN;MATERIAL MANUTENCAO;;;;;;
06706;TUBO ACO INOX 4 X 6M;UN;MATERIAL MANUTENCAO;;;;;;
06713;TINTA ZARCOFER CINZA 18L;UN;MATERIAL MANUTENCAO;;;;;;
06724;PORCA SEXTAVADA 12MM;UN;MATERIAL MANUTENCAO;;;;;;
06729;ACAI GUARANA PETRUZ PRE20 SR OPCA 18KG BD EX;BD;P.A. B MISTA EXPORT;;;;;;
06740;"REGISTRO GAVETA VAPOR 1""";UN;MATERIAL MANUTENCAO;;;;;;
06748;REGISTRO ESFERA PVC SOLDAVEL 60MM;UN;MATERIAL MANUTENCAO;;;;;;
06749;JOELHO PVC SOLDAVEL 60MM;UN;MATERIAL MANUTENCAO;;;;;;
06767;"CURVA COBRE 90° X 1 5/8""";UN;MATERIAL MANUTENCAO;;;;;;
06788;ACAI PETRUZ CLA12 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
06794;CAJU PETRUZ INT11 SR CPSA 400G CX15 EX;CX;P.A. FRUTAS EXPORT;;;;;;
06795;CUPUACU PETRUZ INT10 SR CPSA 400G CX15 EX;CX;P.A. FRUTAS EXPORT;;;;;;
06796;GRAVIOLA PETRUZ INT10 SR CPSA 400G CX15 EX;CX;P.A. FRUTAS EXPORT;;;;;;
06802;"JOELHO GALVANIZADO 45 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
06817;ROLAMENTO 6903;UN;MATERIAL MANUTENCAO;;;;;;
06823;PORCA FERRO 14MM;UN;MATERIAL MANUTENCAO;;;;;;
06827;ACAI ADOCADO REPROCESSO CLA12 BD;KG;REPROCESSO;;;;;;
06828;ACAI GUARANA REPROCESSO CLA16 TB;KG;REPROCESSO;;;;;;
06829;ACAI GUARANA REPROCESSO CLA16 BD;KG;REPROCESSO;;;;;;
06830;ACAI REPROCESSO MOR27 BD;KG;REPROCESSO;;;;;;
06834;AMOSTRA ACAI PETRUZ CLA12 SR CPCA 200G EX;UN;AMOSTRAS EXPORT;;;;;;
06842;DISCO POLIMENTO SISAL 300 X 50;UN;MATERIAL MANUTENCAO;;;;;;
06869;ACAI A3 CLA25 SR CPCA 500G CX7 EX;CX;P.A. B MISTA EXPORT;;;;;;
06872;ACAI PETRUZ GUA27 SR CPCA 200G CX18 EX;CX;P.A. SORBET EXPORT;;;;;;
06873;ACAI PETRUZ GUA27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
06874;ACAI PETRUZ BAN27 SR CPCA 200G CX18 EX;CX;P.A. SORBET EXPORT;;;;;;
06875;ACAI PETRUZ BAN27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
06876;ACAI PETRUZ MOR27 SR CPCA 200G CX18 EX;CX;P.A. SORBET EXPORT;;;;;;
06877;ACAI PETRUZ MOR27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
06890;ACAI TERRAACAI STA10 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
06895;"CONDULETE ALUMINIO 1""";UN;MATERIAL MANUTENCAO;;;;;;
06898;ACAI SAO PEDRO CLA12 SR ONSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
06901;TAMPA ELETROCALHA 100 X 100;UN;MATERIAL MANUTENCAO;;;;;;
06908;TOALHA BANHO;UN;MATERIAL USO CONSUMO;;;;;;
06921;SIFAO COBRE 1 1/8;UN;MATERIAL MANUTENCAO;;;;;;
06923;TIJOLO REFRATARIO;UN;MATERIAL CONSTRUCAO;;;;;;
06924;CONCRETO REFRATARIO;UN;MATERIAL CONSTRUCAO;;;;;;
06925;CIMENTO REFRATARIO;UN;MATERIAL CONSTRUCAO;;;;;;
06940;ACAI ROOTS ADOCADO CLA22 SR OPCA 180KG TB EX;KG;P.A. B MISTA EXPORT;;;;;;
06943;ACAI PETRUZ CLA12 SR OPCA 5KG;UND;PRODUTO ELABORACAO;;;;;;
06949;BLUSAO TERMICO FRIGORIFICO AZUL BOLSO GG;UN;SESMT;;;;;;
06964;CALDA ACAI ALMALIBRE GUA27 SR OPCA TB;KG;SEMI ELABORADO;;;;;;
06968;"PORCA SEXTAVADA INOX M10 X 1,5""";UN;MATERIAL MANUTENCAO;;;;;;
06969;"PORCA SEXTAVADA INOX M6 X 1""";UN;MATERIAL MANUTENCAO;;;;;;
06971;BROCA COBALTO 3MM;UN;MATERIAL MANUTENCAO;;;;;;
06973;BROCA COBALTO 3,25MM;UN;MATERIAL MANUTENCAO;;;;;;
06977;BROCA CONCRETO 10 X 120MM;UN;MATERIAL MANUTENCAO;;;;;;
06981;"DISCO FLAP 80 115 X 22,2""";UN;MATERIAL MANUTENCAO;;;;;;
06984;PARAFUSO ALLEN INOX 8 X 40MM;UN;MATERIAL MANUTENCAO;;;;;;
06985;PARAFUSO ALLEN INOX 4 X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
06990;PALETE FUMIGADO 1,20 X 1,00 X 0,15 M;UN;EMBALAGEM;;;;;;
06993;ACAI GUARANA PETRUZ CLA18 SR OPCA 100G CX60 EX;CX;P.A. B MISTA EXPORT;;;;;;
06996;ACAI PETRUZ CLA12 SR OPCA 100G CX60 EX;CX;P.A. ACAI EXPORT;;;;;;
06997;ACAI SAO PEDRO CLA12 SR ONSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
07004;MANGA PETRUZ INT12 SR CPSA 400G CX15 EX;CX;P.A. FRUTAS EXPORT;;;;;;
07005;MARACUJA PETRUZ INT11 SR CPSA 400G CX15 EX;CX;P.A. FRUTAS EXPORT;;;;;;
07009;ACAI PETRUZ PRE14 SR CPSA 1,02KG CX10;CX;P.A. ACAI;;;;;;
07012;"SERRA COPO DIAMANTADA 2,5""";UN;MATERIAL MANUTENCAO;;;;;;
07016;ACAI PETRUZ PRE14 SR OPCA 100G CX60 EX;CX;P.A. ACAI EXPORT;;;;;;
07017;ACAI PETRUZ PRE14 SR OPCA 1KG CX20 EX;CX;P.A. ACAI EXPORT;;;;;;
07030;TUBO PVC SOLDAVEL 85MM;UN;MATERIAL CONSTRUCAO;;;;;;
07031;JOELHO PVC SOLDAVEL 90º 85MM;UN;MATERIAL MANUTENCAO;;;;;;
07032;LUVA SOLDAVEL 110MM;UN;MATERIAL MANUTENCAO;;;;;;
07033;REDUCAO SOLDAVEL 85 X 60MM;UN;MATERIAL MANUTENCAO;;;;;;
07034;"REGISTRO ESFERA PVC SOLDAVEL 3""";UN;MATERIAL MANUTENCAO;;;;;;
07035;LUVA SOLDAVEL 85MM;UN;MATERIAL MANUTENCAO;;;;;;
